net_job_creation_ori;year;net_job_creation_syn
-4.9235373;1992;-.27748278
-.98830974;1993;6.2814569
3.2089908;1994;8.1319351
1.7045243;1995;5.3402348
2.3856471;1996;7.2563744
4.0542235;1997;6.8992267
3.7793431;1998;5.5940499
2.3280129;1999;1.5829412
4.0696511;2000;6.0354528
-2.2372658;2001;.1375995
-1.1336138;2002;.46308812
-.38753808;2003;-.35776836
-1.5686224;2004;-1.0019614
-.6226564;2005;-.31086156
-1.1873786;2006;1.7889247
-2.906517;2007;-2.7455249
-5.1175933;2008;-4.1010842
-10.10835;2009;-9.8905735
-.56646222;2010;-3.4854527
1.6014204;2011;.82280105
1.7431448;2012;-.0025101071
-.093400888;2013;-1.3956934
.44657028;2014;-13.411265
