net_job_creation_ori;year;net_job_creation_syn
-3.5309329;1992;10.624182
.7423231;1993;10.080362
1.7402381;1994;6.8134174
2.8409674;1995;6.6834745
2.0289826;1996;2.8196995
4.0960536;1997;8.5993376
3.0345469;1998;7.2043977
1.8671123;1999;4.3523536
4.3777332;2000;6.7859373
2.1297193;2001;4.9943132
2.1277497;2002;10.062097
1.3692995;2003;-1.0870264
1.3608137;2004;4.2575622
1.1474195;2005;3.9206126
2.9858813;2006;5.908628
2.9883206;2007;5.4921293
1.2154032;2008;4.9472599
-3.5446122;2009;-2.1079936
.45708284;2010;3.1941903
1.5370879;2011;4.9808459
2.4221938;2012;.92800993
1.2768683;2013;2.0635791
1.0644822;2014;-38.982098
