name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr,Lstar,Ustar,Lconf,Uconf,Uover,Lover,norm_estimate,std_estimate,model_name,sector_country,Jkt
AR(1) Coefficient,Private,TRUE,GMM,Canada,0.5722,0.0024,0.0805,3e-4,0.567496,0.5769040000000001,0.079912,0.08108800000000001,0.08108800000000001,0.567496,0.4917,1639.0000000000002,"GMM, Private","Canada, Private",-232.65688775509997
AR(1) Coefficient,Manufacturing,TRUE,GMM,Canada,0.5425,0.0084,0.1189,0.0018,0.526036,0.558964,0.115372,0.12242800000000001,0.12242800000000001,0.526036,0.4236,235.33333333333331,"GMM, Manufacturing","Canada, Manufacturing",-34.728984450923186
Ln Pay,Private,TRUE,GMM,Canada,0.4101,0.0018,0.8991,2e-4,0.40657200000000004,0.413628,0.8987080000000001,0.899492,0.413628,0.8987080000000001,-0.489,2445,"GMM, Private","Canada, Private",-343.7358276644405
Ln Pay,Manufacturing,TRUE,GMM,Canada,0.4302,0.0067,0.8523,0.0015,0.41706800000000005,0.443332,0.8493599999999999,0.85524,0.443332,0.8493599999999999,-0.4220999999999999,281.3999999999999,"GMM, Manufacturing","Canada, Manufacturing",-42.25593461265041
Age 3-4,Private,TRUE,GMM,Canada,-0.2075,0.001,-0.045,2e-4,-0.20945999999999998,-0.20554,-0.045392,-0.044607999999999995,-0.20554,-0.045392,-0.16249999999999998,812.4999999999999,"GMM, Private","Canada, Private",-122.5622448979584
Age 3-4,Manufacturing,TRUE,GMM,Canada,-0.2972,0.0051,-0.0797,0.0014,-0.307196,-0.287204,-0.08244399999999999,-0.076956,-0.287204,-0.08244399999999999,-0.21750000000000003,155.3571428571429,"GMM, Manufacturing","Canada, Manufacturing",-23.77629623277885
Age 5-7,Private,TRUE,GMM,Canada,-0.2129,0.0011,-0.0438,2e-4,-0.215056,-0.21074400000000001,-0.044191999999999995,-0.043408,-0.21074400000000001,-0.044191999999999995,-0.1691,845.5,"GMM, Private","Canada, Private",-125.53200371057618
Age 5-7,Manufacturing,TRUE,GMM,Canada,-0.3162,0.0059,-0.086,0.0015,-0.327764,-0.30463599999999996,-0.08893999999999999,-0.08306,-0.30463599999999996,-0.08893999999999999,-0.2302,153.46666666666667,"GMM, Manufacturing","Canada, Manufacturing",-23.00458895422576
Age 8-12,Private,TRUE,GMM,Canada,-0.2187,0.0013,-0.0418,3e-4,-0.221248,-0.216152,-0.042387999999999995,-0.041212,-0.216152,-0.042387999999999995,-0.1769,589.6666666666667,"GMM, Private","Canada, Private",-90.92830978545291
Age 8-12,Manufacturing,TRUE,GMM,Canada,-0.3294,0.007,-0.0923,0.0017,-0.34312000000000004,-0.31568,-0.095632,-0.08896799999999999,-0.31568,-0.095632,-0.23710000000000003,139.47058823529414,"GMM, Manufacturing","Canada, Manufacturing",-20.519825072886288
Age 13 or more,Private,TRUE,GMM,Canada,-0.2318,0.0015,-0.0379,3e-4,-0.23474,-0.22886,-0.038488,-0.037312000000000005,-0.22886,-0.038488,-0.19390000000000002,646.3333333333335,"GMM, Private","Canada, Private",-97.12857142857169
Age 13 or more,Manufacturing,TRUE,GMM,Canada,-0.3414,0.008,-0.0898,0.0019,-0.35707999999999995,-0.32572,-0.09352400000000001,-0.086076,-0.32572,-0.09352400000000001,-0.2516,132.42105263157893,"GMM, Manufacturing","Canada, Manufacturing",-19.28991339957034
N,Private,TRUE,GMM,Canada,13573225,NA,15708195,NA,NA,NA,NA,NA,NA,NA,-2134970,NA,"GMM, Private","Canada, Private",NA
N,Manufacturing,TRUE,GMM,Canada,959764,NA,1015293,NA,NA,NA,NA,NA,NA,NA,-55529,NA,"GMM, Manufacturing","Canada, Manufacturing",NA
m2,Private,TRUE,GMM,Canada,-27.54,NA,-14.5,NA,NA,NA,NA,NA,NA,NA,-13.04,NA,"GMM, Private","Canada, Private",NA
m2,Manufacturing,TRUE,GMM,Canada,-9.44,NA,-2.22,NA,NA,NA,NA,NA,NA,NA,-7.219999999999999,NA,"GMM, Manufacturing","Canada, Manufacturing",NA
Sargan test,Private,TRUE,GMM,Canada,15000,NA,69000,NA,NA,NA,NA,NA,NA,NA,-54000,NA,"GMM, Private","Canada, Private",NA
Sargan test,Manufacturing,TRUE,GMM,Canada,1500,NA,4600,NA,NA,NA,NA,NA,NA,NA,-3100,NA,"GMM, Manufacturing","Canada, Manufacturing",NA
df of Sargan Test,Private,TRUE,GMM,Canada,252,NA,252,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Private","Canada, Private",NA
df of Sargan Test,Manufacturing,TRUE,GMM,Canada,252,NA,252,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Manufacturing","Canada, Manufacturing",NA
P value of Sargan test,Private,TRUE,GMM,Canada,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Private","Canada, Private",NA
P value of Sargan test,Manufacturing,TRUE,GMM,Canada,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,"GMM, Manufacturing","Canada, Manufacturing",NA
AR(1) Coefficient,Private,TRUE,System GMM MA,Canada,0.485,0.0012,0.2005,7e-4,0.48264799999999997,0.487352,0.199128,0.20187200000000002,0.20187200000000002,0.48264799999999997,0.2845,406.4285714285714,"System GMM MA, Private","Canada, Private",-81.00619533527623
AR(1) Coefficient,Manufacturing,TRUE,System GMM MA,Canada,0.5737,0.0059,0.2821,0.004,0.562136,0.585264,0.27426,0.28994000000000003,0.28994000000000003,0.562136,0.29159999999999997,72.89999999999999,"System GMM MA, Manufacturing","Canada, Manufacturing",-14.564274904877177
Ln Pay,Private,TRUE,System GMM MA,Canada,0.476,9e-4,0.8044,5e-4,0.474236,0.47776399999999997,0.80342,0.80538,0.47776399999999997,0.80342,-0.3284,656.8000000000001,"System GMM MA, Private","Canada, Private",-129.2285714285734
Ln Pay,Manufacturing,TRUE,System GMM MA,Canada,0.4056,0.0046,0.7135,0.0034,0.396584,0.41461600000000004,0.706836,0.720164,0.41461600000000004,0.706836,-0.3079,90.55882352941177,"System GMM MA, Manufacturing","Canada, Manufacturing",-19.065452267863638
Age 3-4,Private,TRUE,System GMM MA,Canada,-0.1716,6e-4,-0.1245,5e-4,-0.172776,-0.170424,-0.12548,-0.12352,-0.170424,-0.12548,-0.0471,94.2,"System GMM MA, Private","Canada, Private",-21.01972789115635
Age 3-4,Manufacturing,TRUE,System GMM MA,Canada,-0.3158,0.0037,-0.2033,0.0032,-0.323052,-0.30854800000000004,-0.209572,-0.197028,-0.30854800000000004,-0.209572,-0.11250000000000002,35.15625,"System GMM MA, Manufacturing","Canada, Manufacturing",-7.357177330391628
Age 5-7,Private,TRUE,System GMM MA,Canada,-0.1733,6e-4,-0.1328,5e-4,-0.17447600000000002,-0.172124,-0.13378,-0.13182,-0.172124,-0.13378,-0.04050000000000001,81.00000000000001,"System GMM MA, Private","Canada, Private",-17.932993197278748
Age 5-7,Manufacturing,TRUE,System GMM MA,Canada,-0.3389,0.0043,-0.2264,0.0035,-0.34732799999999997,-0.330472,-0.23326,-0.21953999999999999,-0.330472,-0.23326,-0.11249999999999999,32.14285714285714,"System GMM MA, Manufacturing","Canada, Manufacturing",-6.4263136483829415
Age 8-12,Private,TRUE,System GMM MA,Canada,-0.1731,7e-4,-0.1383,6e-4,-0.17447200000000002,-0.171728,-0.13947600000000002,-0.137124,-0.171728,-0.13947600000000002,-0.0348,58,"System GMM MA, Private","Canada, Private",-12.733114674441083
Age 8-12,Manufacturing,TRUE,System GMM MA,Canada,-0.356,0.0051,-0.2454,0.0039,-0.365996,-0.346004,-0.253044,-0.237756,-0.346004,-0.253044,-0.11059999999999998,28.358974358974354,"System GMM MA, Manufacturing","Canada, Manufacturing",-5.3652230122818345
Age 13 or more,Private,TRUE,System GMM MA,Canada,-0.1774,8e-4,-0.1441,6e-4,-0.17896800000000002,-0.175832,-0.14527600000000002,-0.142924,-0.175832,-0.14527600000000002,-0.033299999999999996,55.5,"System GMM MA, Private","Canada, Private",-11.367559523809414
Age 13 or more,Manufacturing,TRUE,System GMM MA,Canada,-0.3717,0.0058,-0.2586,0.0042,-0.38306799999999996,-0.360332,-0.266832,-0.250368,-0.360332,-0.266832,-0.11309999999999998,26.928571428571423,"System GMM MA, Manufacturing","Canada, Manufacturing",-4.895739083810859
N,Private,TRUE,System GMM MA,Canada,13573225,NA,15708195,NA,NA,NA,NA,NA,NA,NA,-2134970,NA,"System GMM MA, Private","Canada, Private",NA
N,Manufacturing,TRUE,System GMM MA,Canada,959764,NA,1015293,NA,NA,NA,NA,NA,NA,NA,-55529,NA,"System GMM MA, Manufacturing","Canada, Manufacturing",NA
m2,Private,TRUE,System GMM MA,Canada,-40.03,NA,8.2,NA,NA,NA,NA,NA,NA,NA,-48.230000000000004,NA,"System GMM MA, Private","Canada, Private",NA
m2,Manufacturing,TRUE,System GMM MA,Canada,-6.64,NA,7.06,NA,NA,NA,NA,NA,NA,NA,-13.7,NA,"System GMM MA, Manufacturing","Canada, Manufacturing",NA
