name,Mean,Median,Maximum
Age 13 or more,-27.239566214459277,-11.321936842918944,0.32071776078852676
Age 3-4,-30.759384696075266,-15.007361388611397,0.180747298919566
Age 5-7,-30.342391595967023,-16.265479503489633,-0.8392857142856995
Age 8-12,-27.085038705896025,-13.431739773831541,-0.4464285714285693
AR(1) Coefficient,-106.96016267688599,-47.27477195872545,-6.482716836734712
df of Sargan Test,NaN,NA,-Inf
Ln Pay,-133.8462765248519,-52.42969454015378,-6.628000387146707
m2,NaN,NA,-Inf
N,NaN,NA,-Inf
P value of Sargan test,NaN,NA,-Inf
R-sq,NaN,NA,-Inf
Sargan test,NaN,NA,-Inf
