name,sector,synthetic,model,country,estimate,stderr,conf_estimate,conf_stderr
AR(1) Coefficient,Private,TRUE,GMM,Canada,0.5722,0.0024,0.0805,3e-4
AR(1) Coefficient,Manufacturing,TRUE,GMM,Canada,0.5425,0.0084,0.1189,0.0018
Ln Pay,Private,TRUE,GMM,Canada,0.4101,0.0018,0.8991,2e-4
Ln Pay,Manufacturing,TRUE,GMM,Canada,0.4302,0.0067,0.8523,0.0015
Age 3-4,Private,TRUE,GMM,Canada,-0.2075,0.001,-0.045,2e-4
Age 3-4,Manufacturing,TRUE,GMM,Canada,-0.2972,0.0051,-0.0797,0.0014
Age 5-7,Private,TRUE,GMM,Canada,-0.2129,0.0011,-0.0438,2e-4
Age 5-7,Manufacturing,TRUE,GMM,Canada,-0.3162,0.0059,-0.086,0.0015
Age 8-12,Private,TRUE,GMM,Canada,-0.2187,0.0013,-0.0418,3e-4
Age 8-12,Manufacturing,TRUE,GMM,Canada,-0.3294,0.007,-0.0923,0.0017
Age 13 or more,Private,TRUE,GMM,Canada,-0.2318,0.0015,-0.0379,3e-4
Age 13 or more,Manufacturing,TRUE,GMM,Canada,-0.3414,0.008,-0.0898,0.0019
N,Private,TRUE,GMM,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,GMM,Canada,959764,NA,1015293,NA
m2,Private,TRUE,GMM,Canada,-27.54,NA,-14.5,NA
m2,Manufacturing,TRUE,GMM,Canada,-9.44,NA,-2.22,NA
Sargan test,Private,TRUE,GMM,Canada,15000,NA,69000,NA
Sargan test,Manufacturing,TRUE,GMM,Canada,1500,NA,4600,NA
df of Sargan Test,Private,TRUE,GMM,Canada,252,NA,252,NA
df of Sargan Test,Manufacturing,TRUE,GMM,Canada,252,NA,252,NA
P value of Sargan test,Private,TRUE,GMM,Canada,0,NA,0,NA
P value of Sargan test,Manufacturing,TRUE,GMM,Canada,0,NA,0,NA
AR(1) Coefficient,Private,TRUE,System GMM MA,Canada,0.485,0.0012,0.2005,7e-4
AR(1) Coefficient,Manufacturing,TRUE,System GMM MA,Canada,0.5737,0.0059,0.2821,0.004
Ln Pay,Private,TRUE,System GMM MA,Canada,0.476,9e-4,0.8044,5e-4
Ln Pay,Manufacturing,TRUE,System GMM MA,Canada,0.4056,0.0046,0.7135,0.0034
Age 3-4,Private,TRUE,System GMM MA,Canada,-0.1716,6e-4,-0.1245,5e-4
Age 3-4,Manufacturing,TRUE,System GMM MA,Canada,-0.3158,0.0037,-0.2033,0.0032
Age 5-7,Private,TRUE,System GMM MA,Canada,-0.1733,6e-4,-0.1328,5e-4
Age 5-7,Manufacturing,TRUE,System GMM MA,Canada,-0.3389,0.0043,-0.2264,0.0035
Age 8-12,Private,TRUE,System GMM MA,Canada,-0.1731,7e-4,-0.1383,6e-4
Age 8-12,Manufacturing,TRUE,System GMM MA,Canada,-0.356,0.0051,-0.2454,0.0039
Age 13 or more,Private,TRUE,System GMM MA,Canada,-0.1774,8e-4,-0.1441,6e-4
Age 13 or more,Manufacturing,TRUE,System GMM MA,Canada,-0.3717,0.0058,-0.2586,0.0042
N,Private,TRUE,System GMM MA,Canada,13573225,NA,15708195,NA
N,Manufacturing,TRUE,System GMM MA,Canada,959764,NA,1015293,NA
m2,Private,TRUE,System GMM MA,Canada,-40.03,NA,8.2,NA
m2,Manufacturing,TRUE,System GMM MA,Canada,-6.64,NA,7.06,NA
Sargan test,Private,TRUE,System GMM MA,Canada,17000,NA,28000,NA
Sargan test,Manufacturing,TRUE,System GMM MA,Canada,1300,NA,2300,NA
df of Sargan Test,Private,TRUE,System GMM MA,Canada,251,NA,251,NA
df of Sargan Test,Manufacturing,TRUE,System GMM MA,Canada,251,NA,251,NA
P value of Sargan test,Private,TRUE,System GMM MA,Canada,0,NA,0,NA
P value of Sargan test,Manufacturing,TRUE,System GMM MA,Canada,0,NA,0,NA
AR(1) Coefficient,Private,TRUE,System GMM,Canada,0.5111,8e-4,0.0978,2e-4
AR(1) Coefficient,Manufacturing,TRUE,System GMM,Canada,0.578,0.0041,0.1614,0.0014
Ln Pay,Private,TRUE,System GMM,Canada,0.4562,6e-4,0.8854,2e-4
Ln Pay,Manufacturing,TRUE,System GMM,Canada,0.4022,0.0033,0.8161,0.0012
Age 3-4,Private,TRUE,System GMM,Canada,-0.1828,4e-4,-0.0555,2e-4
Age 3-4,Manufacturing,TRUE,System GMM,Canada,-0.3177,0.0028,-0.1097,0.0012
