name,type,sector,value,synthetic
AR(1) Coefficient,estimate,Private,0.2031,FALSE
AR(1) Coefficient,estimate,Manufacturing,0.2481,FALSE
AR(1) Coefficient,estimate,Private,0.3970,TRUE
AR(1) Coefficient,estimate,Manufacturing,0.4405,TRUE
AR(1) Coefficient,stderr,Private,0.0001,FALSE
AR(1) Coefficient,stderr,Manufacturing,0.0005,FALSE
AR(1) Coefficient,stderr,Private,0.0002,TRUE
AR(1) Coefficient,stderr,Manufacturing,0.0007,TRUE
Ln Pay,estimate,Private,0.7847,FALSE
Ln Pay,estimate,Manufacturing,0.7300,FALSE
Ln Pay,estimate,Private,0.5481,TRUE
Ln Pay,estimate,Manufacturing,0.5228,TRUE
Ln Pay,stderr,Private,0.0001,FALSE
Ln Pay,stderr,Manufacturing,0.0005,FALSE
Ln Pay,stderr,Private,0.0002,TRUE
Ln Pay,stderr,Manufacturing,0.0006,TRUE
Age 3-4,estimate,Private,-0.1202,FALSE
Age 3-4,estimate,Manufacturing,-0.1717,FALSE
Age 3-4,estimate,Private,-0.1223,TRUE
Age 3-4,estimate,Manufacturing,-0.2340,TRUE
Age 3-4,stderr,Private,0.0003,FALSE
Age 3-4,stderr,Manufacturing,0.0014,FALSE
Age 3-4,stderr,Private,0.0004,TRUE
Age 3-4,stderr,Manufacturing,0.0016,TRUE
Age 5-7,estimate,Private,-0.1260,FALSE
Age 5-7,estimate,Manufacturing,-0.1891,FALSE
Age 5-7,estimate,Private,-0.1235,TRUE
Age 5-7,estimate,Manufacturing,-0.2507,TRUE
Age 5-7,stderr,Private,0.0003,FALSE
Age 5-7,stderr,Manufacturing,0.0014,FALSE
Age 5-7,stderr,Private,0.0004,TRUE
Age 5-7,stderr,Manufacturing,0.0016,TRUE
Age 8-12,estimate,Private,-0.1268,FALSE
Age 8-12,estimate,Manufacturing,-0.1973,FALSE
Age 8-12,estimate,Private,-0.1169,TRUE
Age 8-12,estimate,Manufacturing,-0.2551,TRUE
Age 8-12,stderr,Private,0.0003,FALSE
Age 8-12,stderr,Manufacturing,0.0013,FALSE
Age 8-12,stderr,Private,0.0004,TRUE
Age 8-12,stderr,Manufacturing,0.0016,TRUE
Age 13 or more,estimate,Private,-0.1246,FALSE
Age 13 or more,estimate,Manufacturing,-0.1992,FALSE
Age 13 or more,estimate,Private,-0.1101,TRUE
Age 13 or more,estimate,Manufacturing,-0.2577,TRUE
Age 13 or more,stderr,Private,0.0003,FALSE
Age 13 or more,stderr,Manufacturing,0.0014,FALSE
Age 13 or more,stderr,Private,0.0004,TRUE
Age 13 or more,stderr,Manufacturing,0.0017,TRUE
N,estimate,Private,15708195,FALSE
N,estimate,Manufacturing,1015293,FALSE
N,estimate,Private,13573225,TRUE
N,estimate,Manufacturing,959764,TRUE
R-sq,estimate,Private,0.9696,FALSE
R-sq,estimate,Manufacturing,0.9743,FALSE
R-sq,estimate,Private,0.9444,TRUE
R-sq,estimate,Manufacturing,0.9523,TRUE
