name,type,sector,value,synthetic,model
AR(1) Coefficient,estimate,Private,0.06,FALSE,Dynamic
AR(1) Coefficient,estimate,Manufacturing,0.09,FALSE,Dynamic
AR(1) Coefficient,estimate,Private,0.31,TRUE,Dynamic
AR(1) Coefficient,estimate,Manufacturing,0.41,TRUE,Dynamic
AR(1) Coefficient,stderr,Private,0.0002,FALSE,Dynamic
AR(1) Coefficient,stderr,Manufacturing,0.0011,FALSE,Dynamic
AR(1) Coefficient,stderr,Private,0.0010,TRUE,Dynamic
AR(1) Coefficient,stderr,Manufacturing,0.0028,TRUE,Dynamic
Ln Pay,estimate,Private,0.96,FALSE,Dynamic
Ln Pay,estimate,Manufacturing,0.95,FALSE,Dynamic
Ln Pay,estimate,Private,0.50,TRUE,Dynamic
Ln Pay,estimate,Manufacturing,0.42,TRUE,Dynamic
Ln Pay,stderr,Private,0.0001,FALSE,Dynamic
Ln Pay,stderr,Manufacturing,0.0005,FALSE,Dynamic
Ln Pay,stderr,Private,0.0003,TRUE,Dynamic
Ln Pay,stderr,Manufacturing,0.0009,TRUE,Dynamic
Age 3-4,estimate,Private,-0.03,FALSE,Dynamic
Age 3-4,estimate,Manufacturing,-0.07,FALSE,Dynamic
Age 3-4,estimate,Private,-0.11,TRUE,Dynamic
Age 3-4,estimate,Manufacturing,-0.20,TRUE,Dynamic
Age 3-4,stderr,Private,0.0002,FALSE,Dynamic
Age 3-4,stderr,Manufacturing,0.0013,FALSE,Dynamic
Age 3-4,stderr,Private,0.0006,TRUE,Dynamic
Age 3-4,stderr,Manufacturing,0.0028,TRUE,Dynamic
Age 5-7,estimate,Private,-0.03,FALSE,Dynamic
Age 5-7,estimate,Manufacturing,-0.08,FALSE,Dynamic
Age 5-7,estimate,Private,-0.12,TRUE,Dynamic
Age 5-7,estimate,Manufacturing,-0.19,TRUE,Dynamic
Age 5-7,stderr,Private,0.0003,FALSE,Dynamic
Age 5-7,stderr,Manufacturing,0.0017,FALSE,Dynamic
Age 5-7,stderr,Private,0.0007,TRUE,Dynamic
Age 5-7,stderr,Manufacturing,0.0037,TRUE,Dynamic
Age 8-12,estimate,Private,-0.03,FALSE,Dynamic
Age 8-12,estimate,Manufacturing,-0.10,FALSE,Dynamic
Age 8-12,estimate,Private,-0.11,TRUE,Dynamic
Age 8-12,estimate,Manufacturing,-0.17,TRUE,Dynamic
Age 8-12,stderr,Private,0.0004,FALSE,Dynamic
Age 8-12,stderr,Manufacturing,0.0020,FALSE,Dynamic
Age 8-12,stderr,Private,0.0009,TRUE,Dynamic
Age 8-12,stderr,Manufacturing,0.0043,TRUE,Dynamic
Age 13 or more,estimate,Private,-0.03,FALSE,Dynamic
Age 13 or more,estimate,Manufacturing,-0.09,FALSE,Dynamic
Age 13 or more,estimate,Private,-0.11,TRUE,Dynamic
Age 13 or more,estimate,Manufacturing,-0.17,TRUE,Dynamic
Age 13 or more,stderr,Private,0.0005,FALSE,Dynamic
Age 13 or more,stderr,Manufacturing,0.0024,FALSE,Dynamic
Age 13 or more,stderr,Private,0.0011,TRUE,Dynamic
Age 13 or more,stderr,Manufacturing,0.0050,TRUE,Dynamic
N,estimate,Private,13429873,FALSE,Dynamic
N,estimate,Manufacturing,900220,FALSE,Dynamic
N,estimate,Private,11643922,TRUE,Dynamic
N,estimate,Manufacturing,854897,TRUE,Dynamic
R-sq,estimate,Private,,FALSE,Dynamic
R-sq,estimate,Manufacturing,,FALSE,Dynamic
R-sq,estimate,Private,,TRUE,Dynamic
R-sq,estimate,Manufacturing,,TRUE,Dynamic
