name,type,sector,value,synthetic,model
AR(1) Coefficient,estimate,Private,0.2005,FALSE,System GMM MA
AR(1) Coefficient,estimate,Manufacturing,0.2821,FALSE,System GMM MA
AR(1) Coefficient,estimate,Private,0.4850,TRUE,System GMM MA
AR(1) Coefficient,estimate,Manufacturing,0.5737,TRUE,System GMM MA
AR(1) Coefficient,stderr,Private,0.0007,FALSE,System GMM MA
AR(1) Coefficient,stderr,Manufacturing,0.0040,FALSE,System GMM MA
AR(1) Coefficient,stderr,Private,0.0012,TRUE,System GMM MA
AR(1) Coefficient,stderr,Manufacturing,0.0059,TRUE,System GMM MA
Ln Pay,estimate,Private,0.8044,FALSE,System GMM MA
Ln Pay,estimate,Manufacturing,0.7135,FALSE,System GMM MA
Ln Pay,estimate,Private,0.4760,TRUE,System GMM MA
Ln Pay,estimate,Manufacturing,0.4056,TRUE,System GMM MA
Ln Pay,stderr,Private,0.0005,FALSE,System GMM MA
Ln Pay,stderr,Manufacturing,0.0034,FALSE,System GMM MA
Ln Pay,stderr,Private,0.0009,TRUE,System GMM MA
Ln Pay,stderr,Manufacturing,0.0046,TRUE,System GMM MA
Age 3-4,estimate,Private,-0.1245,FALSE,System GMM MA
Age 3-4,estimate,Manufacturing,-0.2033,FALSE,System GMM MA
Age 3-4,estimate,Private,-0.1716,TRUE,System GMM MA
Age 3-4,estimate,Manufacturing,-0.3158,TRUE,System GMM MA
Age 3-4,stderr,Private,0.0005,FALSE,System GMM MA
Age 3-4,stderr,Manufacturing,0.0032,FALSE,System GMM MA
Age 3-4,stderr,Private,0.0006,TRUE,System GMM MA
Age 3-4,stderr,Manufacturing,0.0037,TRUE,System GMM MA
Age 5-7,estimate,Private,-0.1328,FALSE,System GMM MA
Age 5-7,estimate,Manufacturing,-0.2264,FALSE,System GMM MA
Age 5-7,estimate,Private,-0.1733,TRUE,System GMM MA
Age 5-7,estimate,Manufacturing,-0.3389,TRUE,System GMM MA
Age 5-7,stderr,Private,0.0005,FALSE,System GMM MA
Age 5-7,stderr,Manufacturing,0.0035,FALSE,System GMM MA
Age 5-7,stderr,Private,0.0006,TRUE,System GMM MA
Age 5-7,stderr,Manufacturing,0.0043,TRUE,System GMM MA
Age 8-12,estimate,Private,-0.1383,FALSE,System GMM MA
Age 8-12,estimate,Manufacturing,-0.2454,FALSE,System GMM MA
Age 8-12,estimate,Private,-0.1731,TRUE,System GMM MA
Age 8-12,estimate,Manufacturing,-0.3560,TRUE,System GMM MA
Age 8-12,stderr,Private,0.0006,FALSE,System GMM MA
Age 8-12,stderr,Manufacturing,0.0039,FALSE,System GMM MA
Age 8-12,stderr,Private,0.0007,TRUE,System GMM MA
Age 8-12,stderr,Manufacturing,0.0051,TRUE,System GMM MA
Age 13 or more,estimate,Private,-0.1441,FALSE,System GMM MA
Age 13 or more,estimate,Manufacturing,-0.2586,FALSE,System GMM MA
Age 13 or more,estimate,Private,-0.1774,TRUE,System GMM MA
Age 13 or more,estimate,Manufacturing,-0.3717,TRUE,System GMM MA
Age 13 or more,stderr,Private,0.0006,FALSE,System GMM MA
Age 13 or more,stderr,Manufacturing,0.0042,FALSE,System GMM MA
Age 13 or more,stderr,Private,0.0008,TRUE,System GMM MA
Age 13 or more,stderr,Manufacturing,0.0058,TRUE,System GMM MA
N,estimate,Private,15708195,FALSE,System GMM MA
N,estimate,Manufacturing,1015293,FALSE,System GMM MA
N,estimate,Private,13573225,TRUE,System GMM MA
N,estimate,Manufacturing,959764,TRUE,System GMM MA
m2,estimate,Private,8.2000,FALSE,System GMM MA
m2,estimate,Manufacturing,7.0600,FALSE,System GMM MA
m2,estimate,Private,-40.0300,TRUE,System GMM MA
m2,estimate,Manufacturing,-6.6400,TRUE,System GMM MA
Sargan test,estimate,Private,2.8e+04,FALSE,System GMM MA
Sargan test,estimate,Manufacturing,2.3e+03,FALSE,System GMM MA
Sargan test,estimate,Private,1.7e+04,TRUE,System GMM MA
Sargan test,estimate,Manufacturing,1.3e+03,TRUE,System GMM MA
df of Sargan Test,estimate,Private,251.0000,FALSE,System GMM MA
df of Sargan Test,estimate,Manufacturing,251.0000,FALSE,System GMM MA
df of Sargan Test,estimate,Private,251.0000,TRUE,System GMM MA
df of Sargan Test,estimate,Manufacturing,251.0000,TRUE,System GMM MA
P value of Sargan test,estimate,Private,0.0000,FALSE,System GMM MA
P value of Sargan test,estimate,Manufacturing,0.0000,FALSE,System GMM MA
P value of Sargan test,estimate,Private,0.0000,TRUE,System GMM MA
P value of Sargan test,estimate,Manufacturing,0.0000,TRUE,System GMM MA
