name,type,sector,value,synthetic,model
AR(1) Coefficient,estimate,Private,0.0805,FALSE,GMM
AR(1) Coefficient,estimate,Manufacturing,0.1189,FALSE,GMM
AR(1) Coefficient,estimate,Private,0.5722,TRUE,GMM
AR(1) Coefficient,estimate,Manufacturing,0.5425,TRUE,GMM
AR(1) Coefficient,stderr,Private,0.0003,FALSE,GMM
AR(1) Coefficient,stderr,Manufacturing,0.0018,FALSE,GMM
AR(1) Coefficient,stderr,Private,0.0024,TRUE,GMM
AR(1) Coefficient,stderr,Manufacturing,0.0084,TRUE,GMM
Ln Pay,estimate,Private,0.8991,FALSE,GMM
Ln Pay,estimate,Manufacturing,0.8523,FALSE,GMM
Ln Pay,estimate,Private,0.4101,TRUE,GMM
Ln Pay,estimate,Manufacturing,0.4302,TRUE,GMM
Ln Pay,stderr,Private,0.0002,FALSE,GMM
Ln Pay,stderr,Manufacturing,0.0015,FALSE,GMM
Ln Pay,stderr,Private,0.0018,TRUE,GMM
Ln Pay,stderr,Manufacturing,0.0067,TRUE,GMM
Age 3-4,estimate,Private,-0.0450,FALSE,GMM
Age 3-4,estimate,Manufacturing,-0.0797,FALSE,GMM
Age 3-4,estimate,Private,-0.2075,TRUE,GMM
Age 3-4,estimate,Manufacturing,-0.2972,TRUE,GMM
Age 3-4,stderr,Private,0.0002,FALSE,GMM
Age 3-4,stderr,Manufacturing,0.0014,FALSE,GMM
Age 3-4,stderr,Private,0.0010,TRUE,GMM
Age 3-4,stderr,Manufacturing,0.0051,TRUE,GMM
Age 5-7,estimate,Private,-0.0438,FALSE,GMM
Age 5-7,estimate,Manufacturing,-0.0860,FALSE,GMM
Age 5-7,estimate,Private,-0.2129,TRUE,GMM
Age 5-7,estimate,Manufacturing,-0.3162,TRUE,GMM
Age 5-7,stderr,Private,0.0002,FALSE,GMM
Age 5-7,stderr,Manufacturing,0.0015,FALSE,GMM
Age 5-7,stderr,Private,0.0011,TRUE,GMM
Age 5-7,stderr,Manufacturing,0.0059,TRUE,GMM
Age 8-12,estimate,Private,-0.0418,FALSE,GMM
Age 8-12,estimate,Manufacturing,-0.0923,FALSE,GMM
Age 8-12,estimate,Private,-0.2187,TRUE,GMM
Age 8-12,estimate,Manufacturing,-0.3294,TRUE,GMM
Age 8-12,stderr,Private,0.0003,FALSE,GMM
Age 8-12,stderr,Manufacturing,0.0017,FALSE,GMM
Age 8-12,stderr,Private,0.0013,TRUE,GMM
Age 8-12,stderr,Manufacturing,0.0070,TRUE,GMM
Age 13 or more,estimate,Private,-0.0379,FALSE,GMM
Age 13 or more,estimate,Manufacturing,-0.0898,FALSE,GMM
Age 13 or more,estimate,Private,-0.2318,TRUE,GMM
Age 13 or more,estimate,Manufacturing,-0.3414,TRUE,GMM
Age 13 or more,stderr,Private,0.0003,FALSE,GMM
Age 13 or more,stderr,Manufacturing,0.0019,FALSE,GMM
Age 13 or more,stderr,Private,0.0015,TRUE,GMM
Age 13 or more,stderr,Manufacturing,0.0080,TRUE,GMM
N,estimate,Private,15708195,FALSE,GMM
N,estimate,Manufacturing,1015293,FALSE,GMM
N,estimate,Private,13573225,TRUE,GMM
N,estimate,Manufacturing,959764,TRUE,GMM
m2,estimate,Private,-14.5000,FALSE,GMM
m2,estimate,Manufacturing,-2.2200,FALSE,GMM
m2,estimate,Private,-27.5400,TRUE,GMM
m2,estimate,Manufacturing,-9.4400,TRUE,GMM
Sargan test,estimate,Private,6.9e+04,FALSE,GMM
Sargan test,estimate,Manufacturing,4.6e+03,FALSE,GMM
Sargan test,estimate,Private,1.5e+04,TRUE,GMM
Sargan test,estimate,Manufacturing,1.5e+03,TRUE,GMM
df of Sargan Test,estimate,Private,252.0000,FALSE,GMM
df of Sargan Test,estimate,Manufacturing,252.0000,FALSE,GMM
df of Sargan Test,estimate,Private,252.0000,TRUE,GMM
df of Sargan Test,estimate,Manufacturing,252.0000,TRUE,GMM
P value of Sargan test,estimate,Private,0.0000,FALSE,GMM
P value of Sargan test,estimate,Manufacturing,0.0000,FALSE,GMM
P value of Sargan test,estimate,Private,0.0000,TRUE,GMM
P value of Sargan test,estimate,Manufacturing,0.0000,TRUE,GMM
