name,sector,stderr,estimate
AR(1) Coefficient,Private,0.0805,0.0003
AR(1) Coefficient,Manufacturing,0.1189,0.0018
AR(1) Coefficient,Private_1,0.5722,0.0024
AR(1) Coefficient,Manufacturing_1,0.5425,0.0084
Ln Pay,Private,0.8991,0.0002
Ln Pay,Manufacturing,0.8523,0.0015
Ln Pay,Private_1,0.4101,0.0018
Ln Pay,Manufacturing_1,0.4302,0.0067
Age 3-4,Private,-0.0450,0.0002
Age 3-4,Manufacturing,-0.0797,0.0014
Age 3-4,Private_1,-0.2075,0.0010
Age 3-4,Manufacturing_1,-0.2972,0.0051
Age 5-7,Private,-0.0438,0.0002
Age 5-7,Manufacturing,-0.0860,0.0015
Age 5-7,Private_1,-0.2129,0.0011
Age 5-7,Manufacturing_1,-0.3162,0.0059
Age 8-12,Private,-0.0418,0.0003
Age 8-12,Manufacturing,-0.0923,0.0017
Age 8-12,Private_1,-0.2187,0.0013
Age 8-12,Manufacturing_1,-0.3294,0.0070
Age 13 or more,Private,-0.0379,0.0003
Age 13 or more,Manufacturing,-0.0898,0.0019
Age 13 or more,Private_1,-0.2318,0.0015
Age 13 or more,Manufacturing_1,-0.3414,0.0080
N,Private,15708195,NA
N,Manufacturing,1015293,NA
N,Private_1,13573225,NA
N,Manufacturing_1,959764,NA
m2,Private,-14.5000,NA
m2,Manufacturing,-2.2200,NA
m2,Private_1,-27.5400,NA
m2,Manufacturing_1,-9.4400,NA
Sargan test,Private,6.9e+04,NA
Sargan test,Manufacturing,4.6e+03,NA
Sargan test,Private_1,1.5e+04,NA
Sargan test,Manufacturing_1,1.5e+03,NA
df of Sargan Test,Private,252.0000,NA
df of Sargan Test,Manufacturing,252.0000,NA
df of Sargan Test,Private_1,252.0000,NA
df of Sargan Test,Manufacturing_1,252.0000,NA
P value of Sargan test,Private,0.0000,NA
P value of Sargan test,Manufacturing,0.0000,NA
P value of Sargan test,Private_1,0.0000,NA
P value of Sargan test,Manufacturing_1,0.0000,NA
