name,type,sector,value,synthetic
AR(1) Coefficient,estimate,Universe,0.1883,FALSE
AR(1) Coefficient,stderr,Universe,0.0021,FALSE
AR(1) Coefficient,estimate,Universe,0.6140,TRUE
AR(1) Coefficient,stderr,Universe,0.0027,TRUE
Ln Pay,estimate,Universe,0.6599,FALSE
Ln Pay,stderr,Universe,0.0014,FALSE
Ln Pay,estimate,Universe,0.3553,TRUE
Ln Pay,stderr,Universe,0.0020,TRUE
Age 3-4,estimate,Universe,-0.0292,FALSE
Age 3-4,stderr,Universe,0.0011,FALSE
Age 3-4,estimate,Universe,-0.0934,TRUE
Age 3-4,stderr,Universe,0.0013,TRUE
Age 5-7,estimate,Universe,-0.0512,FALSE
Age 5-7,stderr,Universe,0.0011,FALSE
Age 5-7,estimate,Universe,-0.1266,TRUE
Age 5-7,stderr,Universe,0.0014,TRUE
Age 8-12,estimate,Universe,-0.0791,FALSE
Age 8-12,stderr,Universe,0.0011,FALSE
Age 8-12,estimate,Universe,-0.1545,TRUE
Age 8-12,stderr,Universe,0.0015,TRUE
Age 13 or more,estimate,Universe,-0.1400,FALSE
Age 13 or more,stderr,Universe,0.0011,FALSE
Age 13 or more,estimate,Universe,-0.2012,TRUE
Age 13 or more,stderr,Universe,0.0015,TRUE
N,estimate,Universe,848871,FALSE
N,stderr,Universe,NA,FALSE
N,estimate,Universe,966084,TRUE
N,stderr,Universe,NA,TRUE
m2,estimate,Universe,19.4900,FALSE
m2,stderr,Universe,NA,FALSE
m2,estimate,Universe,-8.8300,TRUE
m2,stderr,Universe,NA,TRUE
Sargan test,estimate,Universe,4.5e+03,FALSE
Sargan test,stderr,Universe,NA,FALSE
Sargan test,estimate,Universe,2.8e+03,TRUE
Sargan test,stderr,Universe,NA,TRUE
df of Sargan Test,estimate,Universe,526.0000,FALSE
df of Sargan Test,stderr,Universe,NA,FALSE
df of Sargan Test,estimate,Universe,526.0000,TRUE
df of Sargan Test,stderr,Universe,NA,TRUE
P value of Sargan test,estimate,Universe,0.0000,FALSE
P value of Sargan test,stderr,Universe,NA,FALSE
P value of Sargan test,estimate,Universe,0.0000,TRUE
P value of Sargan test,stderr,Universe,NA,TRUE
