name,type,sector,value,synthetic,model
AR(1) Coefficient,estimate,Universe,0.1883,FALSE,System GMM
AR(1) Coefficient,estimate,Universe,0.6140,TRUE,System GMM
AR(1) Coefficient,stderr,Universe,0.0021,FALSE,System GMM
AR(1) Coefficient,stderr,Universe,0.0027,TRUE,System GMM
Ln Pay,estimate,Universe,0.6599,FALSE,System GMM
Ln Pay,estimate,Universe,0.3553,TRUE,System GMM
Ln Pay,stderr,Universe,0.0014,FALSE,System GMM
Ln Pay,stderr,Universe,0.0020,TRUE,System GMM
Age 3-4,estimate,Universe,-0.0292,FALSE,System GMM
Age 3-4,estimate,Universe,-0.0934,TRUE,System GMM
Age 3-4,stderr,Universe,0.0011,FALSE,System GMM
Age 3-4,stderr,Universe,0.0013,TRUE,System GMM
Age 5-7,estimate,Universe,-0.0512,FALSE,System GMM
Age 5-7,estimate,Universe,-0.1266,TRUE,System GMM
Age 5-7,stderr,Universe,0.0011,FALSE,System GMM
Age 5-7,stderr,Universe,0.0014,TRUE,System GMM
Age 8-12,estimate,Universe,-0.0791,FALSE,System GMM
Age 8-12,estimate,Universe,-0.1545,TRUE,System GMM
Age 8-12,stderr,Universe,0.0011,FALSE,System GMM
Age 8-12,stderr,Universe,0.0015,TRUE,System GMM
Age 13 or more,estimate,Universe,-0.1400,FALSE,System GMM
Age 13 or more,estimate,Universe,-0.2012,TRUE,System GMM
Age 13 or more,stderr,Universe,0.0011,FALSE,System GMM
Age 13 or more,stderr,Universe,0.0015,TRUE,System GMM
N,estimate,Universe,848871,FALSE,System GMM
N,estimate,Universe,966084,TRUE,System GMM
m2,estimate,Universe,19.4900,FALSE,System GMM
m2,estimate,Universe,-8.8300,TRUE,System GMM
Sargan test,estimate,Universe,4.5e+03,FALSE,System GMM
Sargan test,estimate,Universe,2.8e+03,TRUE,System GMM
df of Sargan Test,estimate,Universe,526.0000,FALSE,System GMM
df of Sargan Test,estimate,Universe,526.0000,TRUE,System GMM
P value of Sargan test,estimate,Universe,0.0000,FALSE,System GMM
P value of Sargan test,estimate,Universe,0.0000,TRUE,System GMM
