name,type,sector,value,synthetic
AR(1) Coefficient,estimate,Model,0.3701,FALSE
AR(1) Coefficient,estimate,Model,0.5268,TRUE
AR(1) Coefficient,stderr,Model,0.0060,FALSE
AR(1) Coefficient,stderr,Model,0.0048,TRUE
Ln Pay,estimate,Model,0.5349,FALSE
Ln Pay,estimate,Model,0.4202,TRUE
Ln Pay,stderr,Model,0.0041,FALSE
Ln Pay,stderr,Model,0.0036,TRUE
Age 3-4,estimate,Model,-0.0594,FALSE
Age 3-4,estimate,Model,-0.0831,TRUE
Age 3-4,stderr,Model,0.0015,FALSE
Age 3-4,stderr,Model,0.0013,TRUE
Age 5-7,estimate,Model,-0.0922,FALSE
Age 5-7,estimate,Model,-0.1105,TRUE
Age 5-7,stderr,Model,0.0018,FALSE
Age 5-7,stderr,Model,0.0015,TRUE
Age 8-12,estimate,Model,-0.1252,FALSE
Age 8-12,estimate,Model,-0.1351,TRUE
Age 8-12,stderr,Model,0.0019,FALSE
Age 8-12,stderr,Model,0.0016,TRUE
Age 13 or more,estimate,Model,-0.1850,FALSE
Age 13 or more,estimate,Model,-0.1802,TRUE
Age 13 or more,stderr,Model,0.0019,FALSE
Age 13 or more,stderr,Model,0.0017,TRUE
N,estimate,Model,848871,FALSE
N,estimate,Model,966084,TRUE
m2,estimate,Model,19.0300,FALSE
m2,estimate,Model,-11.6900,TRUE
Sargan test,estimate,Model,3.1e+03,FALSE
Sargan test,estimate,Model,2.5e+03,TRUE
df of Sargan Test,estimate,Model,494.0000,FALSE
df of Sargan Test,estimate,Model,494.0000,TRUE
P value of Sargan test,estimate,Model,0.0000,FALSE
P value of Sargan test,estimate,Model,0.0000,TRUE
