name,type,sector,value,synthetic,model
AR(1) Coefficient,estimate,Universe,0.0489,FALSE,GMM
AR(1) Coefficient,estimate,Universe,0.6999,TRUE,GMM
AR(1) Coefficient,stderr,Universe,0.0051,FALSE,GMM
AR(1) Coefficient,stderr,Universe,0.0057,TRUE,GMM
Ln Pay,estimate,Universe,0.7559,FALSE,GMM
Ln Pay,estimate,Universe,0.2916,TRUE,GMM
Ln Pay,stderr,Universe,0.0035,FALSE,GMM
Ln Pay,stderr,Universe,0.0042,TRUE,GMM
Age 3-4,estimate,Universe,-0.0070,FALSE,GMM
Age 3-4,estimate,Universe,-0.1026,TRUE,GMM
Age 3-4,stderr,Universe,0.0012,FALSE,GMM
Age 3-4,stderr,Universe,0.0015,TRUE,GMM
Age 5-7,estimate,Universe,-0.0233,FALSE,GMM
Age 5-7,estimate,Universe,-0.1386,TRUE,GMM
Age 5-7,stderr,Universe,0.0014,FALSE,GMM
Age 5-7,stderr,Universe,0.0017,TRUE,GMM
Age 8-12,estimate,Universe,-0.0473,FALSE,GMM
Age 8-12,estimate,Universe,-0.1694,TRUE,GMM
Age 8-12,stderr,Universe,0.0015,FALSE,GMM
Age 8-12,stderr,Universe,0.0018,TRUE,GMM
Age 13 or more,estimate,Universe,-0.1084,FALSE,GMM
Age 13 or more,estimate,Universe,-0.2183,TRUE,GMM
Age 13 or more,stderr,Universe,0.0015,FALSE,GMM
Age 13 or more,stderr,Universe,0.0018,TRUE,GMM
N,estimate,Universe,848871,FALSE,GMM
N,estimate,Universe,966084,TRUE,GMM
m2,estimate,Universe,-2.5100,FALSE,GMM
m2,estimate,Universe,-4.1300,TRUE,GMM
Sargan test,estimate,Universe,3.6e+03,FALSE,GMM
Sargan test,estimate,Universe,2.0e+03,TRUE,GMM
df of Sargan Test,estimate,Universe,495.0000,FALSE,GMM
df of Sargan Test,estimate,Universe,495.0000,TRUE,GMM
P value of Sargan test,estimate,Universe,0.0000,FALSE,GMM
P value of Sargan test,estimate,Universe,0.0000,TRUE,GMM
