"","Private","","Manufacturing","","Private","","Manufacturing",""
"","b","se","b","se","b","se","b","se"
"AR(1) Coefficient","0.0805","0.0003","0.1189","0.0018","0.5722","0.0024","0.5425","0.0084"
"Ln Pay","0.8991","0.0002","0.8523","0.0015","0.4101","0.0018","0.4302","0.0067"
"Age 3-4","-0.0450","0.0002","-0.0797","0.0014","-0.2075","0.0010","-0.2972","0.0051"
"Age 5-7","-0.0438","0.0002","-0.0860","0.0015","-0.2129","0.0011","-0.3162","0.0059"
"Age 8-12","-0.0418","0.0003","-0.0923","0.0017","-0.2187","0.0013","-0.3294","0.0070"
"Age 13 or more","-0.0379","0.0003","-0.0898","0.0019","-0.2318","0.0015","-0.3414","0.0080"
"N","15708195","","1015293","","13573225","","959764",""
"m2","-14.5000","","-2.2200","","-27.5400","","-9.4400",""
"Sargan test","6.9e+04","","4.6e+03","","1.5e+04","","1.5e+03",""
"df of Sargan Test","252.0000","","252.0000","","252.0000","","252.0000",""
"P value of Sargan test","0.0000","","0.0000","","0.0000","","0.0000",""
