"","Private","","Manufacturing","","Private","","Manufacturing",""
"","b","se","b","se","b","se","b","se"
"AR(1) Coefficient","0.0978","0.0002","0.1614","0.0014","0.5111","0.0008","0.5780","0.0041"
"Ln Pay","0.8854","0.0002","0.8161","0.0012","0.4562","0.0006","0.4022","0.0033"
"Age 3-4","-0.0555","0.0002","-0.1097","0.0012","-0.1828","0.0004","-0.3177","0.0028"
"Age 5-7","-0.0558","0.0002","-0.1201","0.0013","-0.1860","0.0005","-0.3408","0.0031"
"Age 8-12","-0.0548","0.0002","-0.1298","0.0014","-0.1875","0.0005","-0.3583","0.0036"
"Age 13 or more","-0.0524","0.0002","-0.1317","0.0016","-0.1943","0.0006","-0.3747","0.0041"
"N","15708195","","1015293","","13573225","","959764",""
"m2","-11.4300","","1.3900","","-41.6000","","-7.6700",""
"Sargan test","7.7e+04","","6.3e+03","","1.8e+04","","1.7e+03",""
"df of Sargan Test","274.0000","","274.0000","","274.0000","","274.0000",""
"P value of Sargan test","0.0000","","0.0000","","0.0000","","0.0000",""
