"","b","se","b","se"
"AR(1) Coefficient","0.1883","0.0021","0.6140","0.0027"
"Ln Pay","0.6599","0.0014","0.3553","0.0020"
"Age 3-4","-0.0292","0.0011","-0.0934","0.0013"
"Age 5-7","-0.0512","0.0011","-0.1266","0.0014"
"Age 8-12","-0.0791","0.0011","-0.1545","0.0015"
"Age 13 or more","-0.1400","0.0011","-0.2012","0.0015"
"N","848871","","966084",""
"m2","19.4900","","-8.8300",""
"Sargan test","4.5e+03","","2.8e+03",""
"df of Sargan Test","526.0000","","526.0000",""
"P value of Sargan test","0.0000","","0.0000",""
