

="AR(1) Coefficient",="0.0489***",="0.6999***"
="",="(0.0051)",="(0.0057)"

="Ln Pay",="0.7559***",="0.2916***"
="",="(0.0035)",="(0.0042)"

="Age 3-4",="-0.0070***",="-0.1026***"
="",="(0.0012)",="(0.0015)"

="Age 5-7",="-0.0233***",="-0.1386***"
="",="(0.0014)",="(0.0017)"

="Age 8-12",="-0.0473***",="-0.1694***"
="",="(0.0015)",="(0.0018)"

="Age 13 or more",="-0.1084***",="-0.2183***"
="",="(0.0015)",="(0.0018)"

="N",="848871",="966084"
="m2",="-2.5100",="-4.1300"
="Sargan test",="3.6e+03",="2.0e+03"
="df of Sargan Test",="495.0000",="495.0000"
="P value of Sargan test",="0.0000",="0.0000"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
