
="",="Private",="Manufacturing",="Private",="Manufacturing"

="AR(1) Coefficient",="0.2005***",="0.2821***",="0.4850***",="0.5737***"
="",="(0.0007)",="(0.0040)",="(0.0012)",="(0.0059)"

="Ln Pay",="0.8044***",="0.7135***",="0.4760***",="0.4056***"
="",="(0.0005)",="(0.0034)",="(0.0009)",="(0.0046)"

="Age 3-4",="-0.1245***",="-0.2033***",="-0.1716***",="-0.3158***"
="",="(0.0005)",="(0.0032)",="(0.0006)",="(0.0037)"

="Age 5-7",="-0.1328***",="-0.2264***",="-0.1733***",="-0.3389***"
="",="(0.0005)",="(0.0035)",="(0.0006)",="(0.0043)"

="Age 8-12",="-0.1383***",="-0.2454***",="-0.1731***",="-0.3560***"
="",="(0.0006)",="(0.0039)",="(0.0007)",="(0.0051)"

="Age 13 or more",="-0.1441***",="-0.2586***",="-0.1774***",="-0.3717***"
="",="(0.0006)",="(0.0042)",="(0.0008)",="(0.0058)"

="N",="15708195",="1015293",="13573225",="959764"
="m2",="8.2000",="7.0600",="-40.0300",="-6.6400"
="Sargan test",="2.8e+04",="2.3e+03",="1.7e+04",="1.3e+03"
="df of Sargan Test",="251.0000",="251.0000",="251.0000",="251.0000"
="P value of Sargan test",="0.0000",="0.0000",="0.0000",="0.0000"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
