

="AR(1) Coefficient",="0.3701***",="0.5268***"
="",="(0.0060)",="(0.0048)"

="Ln Pay",="0.5349***",="0.4202***"
="",="(0.0041)",="(0.0036)"

="Age 3-4",="-0.0594***",="-0.0831***"
="",="(0.0015)",="(0.0013)"

="Age 5-7",="-0.0922***",="-0.1105***"
="",="(0.0018)",="(0.0015)"

="Age 8-12",="-0.1252***",="-0.1351***"
="",="(0.0019)",="(0.0016)"

="Age 13 or more",="-0.1850***",="-0.1802***"
="",="(0.0019)",="(0.0017)"

="N",="848871",="966084"
="m2",="19.0300",="-11.6900"
="Sargan test",="3.1e+03",="2.5e+03"
="df of Sargan Test",="494.0000",="494.0000"
="P value of Sargan test",="0.0000",="0.0000"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
