"","Private","","Manufacturing","","Private","","Manufacturing",""
"","b","se","b","se","b","se","b","se"
"AR(1) Coefficient","0.2031","0.0001","0.2481","0.0005","0.3970","0.0002","0.4405","0.0007"
"Ln Pay","0.7847","0.0001","0.7300","0.0005","0.5481","0.0002","0.5228","0.0006"
"Age 3-4","-0.1202","0.0003","-0.1717","0.0014","-0.1223","0.0004","-0.2340","0.0016"
"Age 5-7","-0.1260","0.0003","-0.1891","0.0014","-0.1235","0.0004","-0.2507","0.0016"
"Age 8-12","-0.1268","0.0003","-0.1973","0.0013","-0.1169","0.0004","-0.2551","0.0016"
"Age 13 or more","-0.1246","0.0003","-0.1992","0.0014","-0.1101","0.0004","-0.2577","0.0017"
"N","15708195","","1015293","","13573225","","959764",""
"R-sq","0.9696","","0.9743","","0.9444","","0.9523",""
