

="AR(1) Coefficient",="0.4430***",="0.4143***"
="",="(0.0007)",="(0.0008)"

="Ln Pay",="0.4629***",="0.5143***"
="",="(0.0006)",="(0.0007)"

="Age 3-4",="-0.0695***",="-0.0642***"
="",="(0.0017)",="(0.0016)"

="Age 5-7",="-0.1066***",="-0.0891***"
="",="(0.0017)",="(0.0016)"

="Age 8-12",="-0.1324***",="-0.1109***"
="",="(0.0017)",="(0.0016)"

="Age 13 or more",="-0.1880***",="-0.1600***"
="",="(0.0016)",="(0.0015)"

="N",="848871",="966084"
="R-sq",="0.9167",="0.8968"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
